Description;Population;Date de début;Académies;Zones;annee_scolaire
All Saints' Day;-;01/11/2023;Paris;Zone C;2023-2024
Armistice Day;-;11/11/2023;Paris;Zone C;2023-2024
Christmas Day;-;25/12/2023;Paris;Zone C;2023-2024
New Year's Day;-;01/01/2024;Paris;Zone C;2023-2024
Easter Monday;-;01/04/2024;Paris;Zone C;2023-2024
Labor Day;-;01/05/2024;Paris;Zone C;2023-2024
Victory Day;-;08/05/2024;Paris;Zone C;2023-2024
Ascension Day;-;09/05/2024;Paris;Zone C;2023-2024
Whit Monday;-;20/05/2024;Paris;Zone C;2023-2024
National Day;-;14/07/2024;Paris;Zone C;2023-2024
Assumption Day;-;15/08/2024;Paris;Zone C;2023-2024
All Saints' Day;-;01/11/2024;Paris;Zone C;2024-2025
Armistice Day;-;11/11/2024;Paris;Zone C;2024-2025
Christmas Day;-;25/12/2024;Paris;Zone C;2024-2025
New Year's Day;-;01/01/2025;Paris;Zone C;2024-2025
Easter Monday;-;21/04/2025;Paris;Zone C;2024-2025
Labor Day;-;01/05/2025;Paris;Zone C;2024-2025
Victory Day;-;08/05/2025;Paris;Zone C;2024-2025
Ascension Day;-;29/05/2025;Paris;Zone C;2024-2025
Whit Monday;-;09/06/2025;Paris;Zone C;2024-2025
National Day;-;14/07/2025;Paris;Zone C;2024-2025
Assumption Day;-;15/08/2025;Paris;Zone C;2024-2025
All Saints' Day;-;01/11/2025;Paris;Zone C;2025-2026
Armistice Day;-;11/11/2025;Paris;Zone C;2025-2026
Christmas Day;-;25/12/2025;Paris;Zone C;2025-2026
New Year's Day;-;01/01/2026;Paris;Zone C;2025-2026
Easter Monday;-;06/04/2026;Paris;Zone C;2025-2026
Labor Day;-;01/05/2026;Paris;Zone C;2025-2026
Victory Day;-;08/05/2026;Paris;Zone C;2025-2026
Ascension Day;-;14/05/2026;Paris;Zone C;2025-2026
Whit Monday;-;25/05/2026;Paris;Zone C;2025-2026
National Day;-;14/07/2026;Paris;Zone C;2025-2026
Assumption Day;-;15/08/2026;Paris;Zone C;2025-2026